epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.8534,1.61034,3.60969,1.2921,0.02269,0.80556,0.16889,0.1117,1.22492,3.44327,1.12633,6e-05,6e-05,6e-05
2,18.6301,1.23386,3.27234,1.15705,0.02468,0.95833,0.38255,0.23865,1.01409,3.34908,1.012,0.000127855,0.000127855,0.000127855
3,25.0427,1.21736,2.7244,1.12872,0.02424,0.97222,0.34203,0.21435,1.09664,3.06588,1.0183,0.0001934,0.0001934,0.0001934
4,28.8485,1.1948,2.28378,1.11774,0.90616,0.08674,0.50483,0.33529,1.05675,2.91482,1.00396,0.000256635,0.000256635,0.000256635
5,32.509,1.19978,1.8124,1.18316,1,0.17545,0.56025,0.37702,1.07387,2.79498,1.05303,0.00031756,0.00031756,0.00031756
6,36.1028,1.16672,1.39436,1.17831,0.73845,0.18056,0.51708,0.32622,1.15767,2.81447,1.14553,0.000376175,0.000376175,0.000376175
7,40.2709,1.18265,1.21505,1.20032,0.80943,0.31075,0.60948,0.38083,1.26111,2.65469,1.18448,0.00043248,0.00043248,0.00043248
8,43.5592,1.11703,1.0608,1.1227,0.8855,0.44602,0.73875,0.52647,1.08782,2.23946,1.08661,0.000486475,0.000486475,0.000486475
9,46.7945,1.10624,1.0378,1.13348,0.86171,0.50998,0.83548,0.54072,1.19401,1.98212,1.12245,0.00053816,0.00053816,0.00053816
10,50.6372,1.14867,0.99452,1.14488,0.85314,0.64253,0.88098,0.60185,1.13894,1.76307,1.11297,0.000587535,0.000587535,0.000587535
11,54.5688,1.08199,0.90835,1.11771,0.90422,0.75306,0.93715,0.63784,1.10652,1.47191,1.07699,0.0006346,0.0006346,0.0006346
12,57.842,1.07961,0.90025,1.10091,0.90719,0.89172,0.96461,0.70092,1.02883,1.19799,1.0355,0.000679355,0.000679355,0.000679355
13,60.8028,1.07315,0.8587,1.11575,0.93092,0.85507,0.96275,0.69747,1.0228,1.19305,1.04065,0.0007218,0.0007218,0.0007218
14,64.9632,1.08845,0.8871,1.11913,0.89161,0.92549,0.95949,0.67249,1.07475,1.12202,1.08628,0.000761935,0.000761935,0.000761935
15,68.1205,1.09737,0.85309,1.09968,0.93155,0.96446,0.96903,0.6618,1.12599,0.93502,1.11649,0.000769,0.000769,0.000769
16,71.4792,1.10882,0.85407,1.08215,0.95672,0.93471,0.96362,0.65061,1.13252,0.89677,1.14038,0.0007525,0.0007525,0.0007525
17,74.4402,1.07663,0.80474,1.09848,0.96581,0.94538,0.96363,0.68554,1.02706,0.82759,1.10774,0.000736,0.000736,0.000736
18,78.3878,1.08151,0.81827,1.09942,0.96049,0.94551,0.96345,0.6676,1.13425,0.85231,1.14209,0.0007195,0.0007195,0.0007195
19,81.9701,1.08414,0.79126,1.09294,0.95424,0.96481,0.96637,0.67566,1.10844,0.83931,1.12567,0.000703,0.000703,0.000703
20,85.2583,1.0632,0.78669,1.08444,0.95216,0.97222,0.96334,0.694,1.04735,0.77159,1.09897,0.0006865,0.0006865,0.0006865
21,89.6432,1.04318,0.75287,1.09562,0.94746,0.96646,0.96479,0.6902,1.04914,0.77456,1.08425,0.00067,0.00067,0.00067
22,93.2467,1.06697,0.76262,1.09592,0.94906,0.96984,0.96041,0.68478,1.07626,0.73756,1.10192,0.0006535,0.0006535,0.0006535
23,96.4717,1.0491,0.74995,1.08212,0.95374,0.97045,0.95912,0.69339,1.04206,0.74139,1.08086,0.000637,0.000637,0.000637
24,99.645,1.03293,0.74359,1.07718,0.94859,0.94759,0.96551,0.65339,1.1936,0.76663,1.14263,0.0006205,0.0006205,0.0006205
25,103.966,1.04252,0.75371,1.06273,0.94571,0.95995,0.97182,0.68625,1.11316,0.75109,1.10224,0.000604,0.000604,0.000604
26,107.046,1.01672,0.73182,1.05864,0.95899,0.97056,0.9718,0.71895,1.01384,0.69197,1.08564,0.0005875,0.0005875,0.0005875
27,110.652,1.03097,0.74012,1.09254,0.95942,0.97222,0.97376,0.71784,1.04387,0.67576,1.09252,0.000571,0.000571,0.000571
28,114.336,1.02063,0.7166,1.06383,0.96263,0.97222,0.9737,0.7185,0.99694,0.6879,1.06683,0.0005545,0.0005545,0.0005545
29,118.164,1.02113,0.7119,1.07663,0.95829,0.97222,0.97542,0.72361,0.98825,0.69418,1.06593,0.000538,0.000538,0.000538
30,121.432,0.98301,0.67738,1.06418,0.96261,0.96472,0.97595,0.72031,1.02382,0.68284,1.07278,0.0005215,0.0005215,0.0005215
31,124.677,1.00654,0.6896,1.08407,0.96243,0.96418,0.96936,0.69334,1.02819,0.6631,1.07205,0.000505,0.000505,0.000505
32,128.515,0.98606,0.70053,1.04318,0.97181,0.96948,0.97027,0.69459,1.06177,0.66526,1.10403,0.0004885,0.0004885,0.0004885
33,132.305,0.97091,0.68493,1.0529,0.97506,0.96643,0.97221,0.69284,1.03485,0.65354,1.09154,0.000472,0.000472,0.000472
34,135.717,1.00386,0.68776,1.07295,0.96049,0.97006,0.97721,0.70984,1.01659,0.63624,1.06233,0.0004555,0.0004555,0.0004555
35,138.848,1.00751,0.68138,1.06935,0.95698,0.96975,0.97739,0.70465,1.03001,0.63703,1.06462,0.000439,0.000439,0.000439
36,143.038,0.96715,0.67701,1.033,0.95426,0.97198,0.97214,0.70901,1.03718,0.63273,1.07589,0.0004225,0.0004225,0.0004225
37,146.48,0.9742,0.67671,1.06067,0.95716,0.9717,0.97296,0.71302,1.02363,0.62965,1.07312,0.000406,0.000406,0.000406
38,149.821,0.95378,0.64477,1.05375,0.95513,0.96803,0.97227,0.72482,0.9914,0.60936,1.06262,0.0003895,0.0003895,0.0003895
39,152.95,0.97437,0.67482,1.06426,0.95748,0.95984,0.97227,0.71259,0.99994,0.62502,1.06695,0.000373,0.000373,0.000373
40,157.456,0.95511,0.65719,1.02761,0.95905,0.97139,0.96973,0.70312,1.01825,0.62221,1.08097,0.0003565,0.0003565,0.0003565
41,160.115,0.96913,0.66114,1.07655,0.95813,0.96879,0.97084,0.70836,1.00995,0.61075,1.08371,0.00034,0.00034,0.00034
42,163.323,0.94694,0.64225,1.03465,0.96347,0.97222,0.97811,0.72422,1.00697,0.59059,1.0778,0.0003235,0.0003235,0.0003235
43,166.893,0.96757,0.6438,1.05446,0.96082,0.96985,0.98026,0.72003,1.03787,0.58457,1.07719,0.000307,0.000307,0.000307
44,171.138,0.91652,0.64964,1.0509,0.95679,0.96994,0.9754,0.72395,1.0369,0.58475,1.06934,0.0002905,0.0002905,0.0002905
45,174.74,0.93964,0.63102,1.02701,0.9559,0.97222,0.97398,0.72602,1.01428,0.57992,1.06394,0.000274,0.000274,0.000274
46,178.14,0.96614,0.61045,1.0352,0.95526,0.97222,0.97408,0.71864,1.02247,0.58274,1.07578,0.0002575,0.0002575,0.0002575
47,182.522,0.93234,0.61593,1.03196,0.96351,0.97222,0.97557,0.71982,1.00724,0.57813,1.07286,0.000241,0.000241,0.000241
48,185.757,0.97219,0.64426,1.06138,0.96709,0.97222,0.97306,0.72668,1.00425,0.57153,1.06634,0.0002245,0.0002245,0.0002245
49,189.01,0.94086,0.63982,1.06366,0.96309,0.97222,0.97165,0.71736,1.01611,0.57614,1.06871,0.000208,0.000208,0.000208
50,192.728,0.95853,0.63746,1.05849,0.96136,0.97222,0.97054,0.71306,1.00328,0.57261,1.06638,0.0001915,0.0001915,0.0001915
51,211.633,0.89202,0.65861,1.04914,0.95631,0.97222,0.97361,0.72078,1.00678,0.59179,1.0666,0.000175,0.000175,0.000175
52,219.406,0.87646,0.64361,1.00848,0.95909,0.97222,0.97559,0.71546,1.00509,0.59352,1.06811,0.0001585,0.0001585,0.0001585
53,226.231,0.8941,0.64236,1.03288,0.9584,0.97222,0.9781,0.70602,1.01351,0.58639,1.07719,0.000142,0.000142,0.000142
54,231.118,0.89524,0.62749,1.0397,0.95687,0.97222,0.97946,0.71878,1.01677,0.58063,1.07965,0.0001255,0.0001255,0.0001255
55,234.811,0.87083,0.62161,1.02176,0.96023,0.97222,0.98038,0.71133,1.00787,0.58229,1.07199,0.000109,0.000109,0.000109
56,238.398,0.87904,0.61601,1.01924,0.96399,0.97222,0.97931,0.72107,0.99986,0.57848,1.06321,9.25e-05,9.25e-05,9.25e-05
57,240.976,0.85516,0.60849,1.0073,0.96356,0.97222,0.97802,0.71982,0.99971,0.57845,1.06231,7.6e-05,7.6e-05,7.6e-05
58,243.935,0.86333,0.6162,1.00901,0.96331,0.97222,0.97773,0.71442,0.99918,0.57222,1.06389,5.95e-05,5.95e-05,5.95e-05
59,248.122,0.86652,0.60026,1.00045,0.96249,0.97222,0.97749,0.71377,1.00184,0.57027,1.06693,4.3e-05,4.3e-05,4.3e-05
60,250.847,0.85664,0.59969,1.01294,0.96233,0.97222,0.97638,0.71611,1.0057,0.56543,1.06939,2.65e-05,2.65e-05,2.65e-05
